"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Dalvin Cook",MIN,"1","3","1.8","0.9"
"2","Alvin Kamara",NO,"1","3","2.1","0.3"
"3","Aaron Jones",GB,"1","3","2.1","0.9"
"4","James Robinson",JAC,"4","12","4.8","1.8"
"5","Miles Sanders",PHI,"4","12","6.1","2.2"
"6","Derrick Henry",TEN,"4","12","6.3","1.6"
"7","Kareem Hunt",CLE,"7","11","7.8","0.9"
"8","Duke Johnson Jr.",HOU,"7","16","8.4","1.2"
"9","James Conner",PIT,"4","13","9.5","2.7"
"10","Mike Davis",CAR,"4","11","9.6","0.6"
"11","Nick Chubb",CLE,"6","16","11.4","3.4"
"12","Antonio Gibson",WAS,"9","16","11.4","2.0"
"13","Josh Jacobs",LV,"5","14","11.6","2.4"
"14","D'Andre Swift",DET,"10","17","14.0","1.8"
"15","Giovani Bernard",CIN,"8","19","14.9","0.7"
"16","Leonard Fournette",TB,"12","18","15.7","2.0"
"17","Chase Edmonds",ARI,"12","18","15.8","1.6"
"18","Jerick McKinnon",SF,"17","22","18.3","1.2"
"19","Melvin Gordon III",DEN,"17","20","19.1","0.5"
"20","Darrell Henderson",LAR,"17","23","19.6","1.2"
"21","J.D. McKissic",WAS,"18","27","21.1","0.3"
"22","Ronald Jones II",TB,"18","26","23.3","1.6"
"23","Zack Moss",BUF,"21","27","23.5","1.4"
"24","Wayne Gallman",NYG,"22","29","24.6","1.2"
"25","Jonathan Taylor",IND,"20","32","25.2","2.2"
"26","DeeJay Dallas",SEA,"22","33","26.3","2.5"
"27","Phillip Lindsay",DEN,"24","35","27.0","2.2"
"28","Jamaal Williams",GB,"22","31","27.1","1.7"
"29","J.K. Dobbins",BAL,"23","48","29.6","2.7"
"30","Devin Singletary",BUF,"29","38","30.4","1.3"
"31","Kenyan Drake",ARI,"26","39","31.6","1.7"
"32","Nyheim Hines",IND,"28","40","31.9","2.1"
"33","Jordan Wilkins",IND,"29","42","32.4","2.1"
"34","James White",NE,"28","43","35.3","3.3"
"35","Joshua Kelley",LAC,"27","62","36.7","2.2"
"36","Troymaine Pope",LAC,"29","44","36.7","2.4"
"37","Travis Homer",SEA,"33","45","37.5","3.6"
"38","Malcolm Brown",LAR,"29","43","37.8","2.3"
"39","Damien Harris",NE,"34","43","37.9","2.1"
"40","Latavius Murray",NO,"32","42","38.6","2.8"
"41","Rex Burkhead",NE,"32","43","39.3","2.0"
"42","Ryan Nall",CHI,"23","56","43.6","4.5"
"43","Gus Edwards",BAL,"36","58","44.0","4.7"
"44","Kalen Ballage",LAC,"38","50","44.5","3.0"
"45","Mark Ingram II",BAL,"41","49","44.8","2.8"
"46","Adrian Peterson",DET,"42","48","45.6","1.8"
"47","Salvon Ahmed",MIA,"40","59","47.8","4.6"
"48","Chris Thompson",JAC,"45","52","49.2","1.4"
"49","Alexander Mattison",MIN,"48","59","51.5","3.3"
"50","Devontae Booker",LV,"45","55","51.8","2.4"
"51","Boston Scott",PHI,"46","58","53.9","1.9"
"52","Jalen Richard",LV,"52","66","56.1","3.5"
"53","Kerryon Johnson",DET,"53","62","56.6","2.1"
"54","Dion Lewis",NYG,"53","64","57.4","2.7"
"55","Tyler Ervin",GB,"50","63","55.9","4.0"
"56","Cam Akers",LAR,"46","64","59.6","2.5"
"57","Alfred Morris",NYG,"52","66","62.7","3.2"
"58","Patrick Laird",MIA,"54","70","60.4","4.0"
"59","Anthony McFarland Jr.",PIT,"59","69","63.9","3.2"
"60","Benny Snell Jr.",PIT,"59","68","64.0","2.3"
"61","Kyle Juszczyk",SF,"54","69","61.7","4.6"
"62","Samaje Perine",CIN,"50","76","64.6","3.6"
"63","DeAndre Washington",MIA,"41","85","62.8","7.9"
"64","Lamar Miller",CHI,"46","79","58.5","8.1"
"65","Jeremy McNichols",TEN,"64","78","70.0","3.4"
"66","Peyton Barber",WAS,"59","73","68.4","3.0"
"67","Alex Collins",SEA,"66","76","70.8","2.4"
"68","D'Onta Foreman",TEN,"66","84","73.3","4.5"
"69","Buddy Howell",HOU,"60","87","70.2","6.6"
"70","Trenton Cannon",CAR,"61","86","71.1","6.2"
"71","Alec Ingold",LV,"59","73","69.0","2.0"
"72","Jaylen Samuels",PIT,"68","78","73.9","4.0"
"73","Corey Clement",PHI,"63","89","77.6","5.4"
"74","LeSean McCoy",TB,"71","83","78.9","2.9"
"75","Royce Freeman",DEN,"66","84","76.8","6.0"
"76","C.J. Prosise",HOU,"73","92","79.6","5.8"
"77","Artavis Pierce",CHI,"57","73","71.2","1.2"
"78","C.J. Ham",MIN,"74","91","78.8","5.2"
"79","D'Ernest Johnson",CLE,"78","95","82.4","4.8"
"80","Jakob Johnson",NE,"71","82","77.7","3.0"
"81","D.J. Foster",ARI,"69","89","83.4","4.1"
"82","Alex Armah",CAR,"77","94","83.1","5.4"
"83","AJ Dillon",GB,"61","90","78.0","9.3"
"84","Ameer Abdullah",MIN,"81","97","87.0","5.3"
"85","Justice Hill",BAL,"75","91","83.0","5.1"
"86","Patrick Ricard",BAL,"77","88","83.6","3.7"
"87","Lynn Bowden Jr.",MIA,"74","90","83.8","7.6"
"88","Sony Michel",NE,"76","89","84.2","5.2"
"89","Trayveon Williams",CIN,"79","96","86.4","5.5"
"90","Dare Ogunbowale",JAC,"76","91","83.8","5.5"
"91","Andy Janovich",CLE,"80","94","88.0","5.3"
"92","Elijhaa Penny",NYG,"83","92","88.2","3.3"
"93","Michael Burton",NO,"79","97","91.0","4.6"
"94","Eno Benjamin",ARI,"79","99","89.4","4.9"
"95","Reggie Gilliam",BUF,"81","96","91.5","4.3"
"96","Austin Walter",SF,"75","98","87.7","9.5"
"97","Cullen Gillaspia",HOU,"86","96","91.3","3.6"
"98","Khari Blasingame",TEN,"90","98","93.3","3.4"
"99","Ty Montgomery",NO,"94","99","96.5","2.5"
"100","Scottie Phillips",HOU,"98","101","99.5","1.5"